,raceId,year,circuitId,name,date,driverId,constructorId,laps,time,statusId,driver_name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain
82,1075,2022,77,Saudi Arabian Grand Prix,2022-03-27,830,9,50,1:24:19.293,1,max_verstappen,25.42039473684211,59.66447368421053,2.359210526315789,28.40921052631579,False
83,1076,2022,1,Australian Grand Prix,2022-04-10,844,6,58,1:27:46.548,1,leclerc,26.69743589743589,43.65384615384615,1.8128205128205126,37.40833333333334,False
84,1077,2022,21,Emilia Romagna Grand Prix,2022-04-24,830,9,63,1:32:07.986,1,max_verstappen,12.899367088607592,83.17088607594937,1.482278481012658,17.41898734177215,False
85,1078,2022,79,Miami Grand Prix,2022-05-08,830,9,57,1:34:24.258,1,max_verstappen,30.617283950617285,58.858024691358025,2.2672839506172835,42.81975308641975,True
86,1079,2022,4,Spanish Grand Prix,2022-05-22,830,9,66,1:37:20.475,1,max_verstappen,36.56585365853658,7.109756097560975,3.488414634146341,48.957317073170735,False
87,1080,2022,6,Monaco Grand Prix,2022-05-29,815,9,64,1:56:30.265,1,perez,22.27469387755102,75.66530612244898,0.9902040816326529,31.038367346938774,True
88,1081,2022,73,Azerbaijan Grand Prix,2022-06-12,830,9,51,1:34:05.941,1,max_verstappen,25.435403726708078,59.49068322981366,1.529192546583851,47.14968944099379,False
89,1082,2022,7,Canadian Grand Prix,2022-06-19,830,9,70,1:36:21.757,1,max_verstappen,20.762962962962963,28.925925925925927,3.552469135802469,41.261111111111106,False
90,1083,2022,9,British Grand Prix,2022-07-03,832,6,52,2:17:50.311,1,sainz,18.25320197044335,59.748768472906406,1.4561576354679802,30.026108374384233,True
91,1084,2022,70,Austrian Grand Prix,2022-07-10,844,6,71,1:24:24.312,1,leclerc,20.25592105263158,35.13815789473684,1.2552631578947369,30.74671052631579,False
92,1085,2022,34,French Grand Prix,2022-07-24,830,9,53,1:30:02.112,1,max_verstappen,30.164843750000003,47.734375,1.9460937499999997,54.46171875,False
93,1086,2022,11,Hungarian Grand Prix,2022-07-31,830,9,70,1:39:35.912,1,max_verstappen,18.559880239520957,69.31736526946108,4.0341317365269465,26.720958083832333,True
94,1087,2022,13,Belgian Grand Prix,2022-08-28,830,9,44,1:25:52.894,1,max_verstappen,21.78717948717949,40.51923076923077,1.5192307692307692,36.08397435897436,False
95,1088,2022,39,Dutch Grand Prix,2022-09-04,830,9,72,1:36:42.773,1,max_verstappen,22.73006134969325,75.38036809815951,1.061963190184049,33.44601226993865,False
96,1089,2022,14,Italian Grand Prix,2022-09-11,830,9,53,1:20:27.511,1,max_verstappen,27.73469387755102,33.14965986394558,1.3612244897959185,43.138775510204084,False
97,1091,2022,15,Singapore Grand Prix,2022-10-02,815,9,59,2:02:20.238,1,perez,26.23254901960784,87.44705882352942,0.9298039215686275,28.973333333333333,True
98,1092,2022,22,Japanese Grand Prix,2022-10-09,830,9,28,3:01:44.004,1,max_verstappen,16.717647058823534,86.21176470588236,2.04078431372549,19.930588235294113,True
99,1093,2022,69,United States Grand Prix,2022-10-23,830,9,56,1:42:11.687,1,max_verstappen,29.28529411764706,49.62352941176471,5.487058823529411,35.523529411764706,False
