,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Unnamed: 0.1,Unnamed: 0,year,name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain,Temperature (F),Heat Index
93,23875,993,845,3,35,19,14,14,14,0.0,63,\N,\N,57,17,1:22.680,202.685,13,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
94,23876,993,838,1,2,11,\N,R,15,0.0,45,\N,\N,38,16,1:22.594,202.896,6,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
95,23877,993,839,10,31,13,\N,R,16,0.0,38,\N,\N,36,13,1:22.117,204.074,44,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
96,23878,993,8,6,7,4,\N,R,17,0.0,25,\N,\N,23,11,1:21.531,205.541,101,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
97,23879,993,154,210,8,10,\N,R,18,0.0,0,\N,\N,\N,0,\N,\N,4,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
98,23880,993,842,5,10,12,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
99,23881,993,807,4,27,16,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4,4,4,2018,Spanish Grand Prix,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True,60.89085714285714,Caution
100,23882,994,817,9,3,1,1,1,1,25.0,78,1:42:54.807,6174807,13,5,1:15.562,158.984,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
101,23883,994,20,6,5,2,2,2,2,18.0,78,+7.336,6182143,14,7,1:16.065,157.933,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
102,23884,994,1,131,44,3,3,3,3,15.0,78,+17.013,6191820,15,8,1:16.270,157.508,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
103,23885,994,8,6,7,4,4,4,4,12.0,78,+18.127,6192934,13,10,1:16.392,157.257,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
104,23886,994,822,131,77,5,5,5,5,10.0,78,+18.822,6193629,21,9,1:16.312,157.422,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
105,23887,994,839,10,31,6,6,6,6,8.0,78,+23.667,6198474,63,14,1:17.027,155.960,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
106,23888,994,842,5,10,10,7,7,7,6.0,78,+24.331,6199138,68,15,1:17.099,155.815,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
107,23889,994,807,4,27,11,8,8,8,4.0,78,+24.839,6199646,57,6,1:16.061,157.941,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
108,23890,994,830,9,33,20,9,9,9,2.0,78,+25.317,6200124,60,1,1:14.260,161.772,1,5,5,2018,Monaco Grand Prix,26.640707964601766,50.89292035398231,1.382300884955752,34.60973451327434,True,79.95327433628319,Caution
